records;avg_mbps;min_mbps;max_mbps;avg_rtt;min_rtt;max_rtt;avg_loss;min_loss;max_loss;city;asn;day;month;year;date
9;8.3757401151113768;0.10220063850101875;32.136984914326625;74.666666666666671;43.0;161.0;0.016117236503062318;0.0;0.11864406779661017;Wroclaw;5617;1;1;2017;01.01.2017
20;5.2339958978813188;0.040516988045605405;13.079660127819457;60.85;40.0;185.0;0.015407991796115362;0.0;0.17647058823529413;Wroclaw;5617;2;1;2017;02.01.2017
17;2.4933527600226246;0.16926395107675149;5.0760305090110052;84.6470588235294;52.0;219.0;0.0095812356963031441;0.0;0.04807692307692308;Wroclaw;5617;3;1;2017;03.01.2017
19;4.0715585150027067;0.79550516105250857;13.347833600731448;62.0;40.0;109.0;0.0028530782255189306;0.0;0.014735165272799682;Wroclaw;5617;4;1;2017;04.01.2017
24;8.0486162749606969;1.7612645581806121;18.269755694557315;56.625000000000007;41.0;72.0;0.0041027214558633871;0.0;0.027105850060044605;Wroclaw;5617;5;1;2017;05.01.2017
33;4.2401867545468725;0.10911687770624465;15.335960624575019;87.6060606060606;46.0;367.0;0.039277454627395479;0.0;0.10355177588794397;Wroclaw;5617;6;1;2017;06.01.2017
30;4.2736011109744121;0.47736739838335174;8.2749872461729552;72.866666666666688;36.0;153.0;0.0035253073744952916;0.0;0.025597269624573378;Wroclaw;5617;7;1;2017;07.01.2017
12;5.6303937935896196;0.18993607719785682;14.565453392997775;75.916666666666671;46.0;205.0;0.012085774291656283;0.0;0.071748878923766815;Wroclaw;5617;8;1;2017;08.01.2017
15;2.8018240411127353;0.022593794801755905;9.9591050711684126;284.86666666666667;35.0;1349.0;0.0037774335163645208;0.0;0.032258064516129031;Wroclaw;5617;9;1;2017;09.01.2017
26;4.9830390043994566;0.752973685893627;16.219580783230537;61.96153846153846;17.0;148.0;0.0037393740215193086;0.0;0.044382801664355064;Wroclaw;5617;10;1;2017;10.01.2017
12;3.4237950172778433;0.067220515268870809;9.4373946070900523;65.0;38.0;130.0;0.041257713304679117;0.0;0.24752475247524752;Wroclaw;5617;11;1;2017;11.01.2017
17;6.7630842148286261;0.44394513612866987;13.227548302800084;52.764705882352949;37.0;122.0;0.00083660142342701163;0.0;0.0072332730560578659;Wroclaw;5617;12;1;2017;12.01.2017
20;2.4054373180386355;0.23741354307171178;5.9550641415441445;91.050000000000011;41.0;298.0;0.011633635106388264;0.0;0.073964497041420121;Wroclaw;5617;13;1;2017;13.01.2017
18;3.8342909780318082;0.16402805186824612;17.937733626005198;88.111111111111114;38.0;543.0;0.01581222213902465;0.0;0.15677966101694915;Wroclaw;5617;14;1;2017;14.01.2017
16;3.0352533362445597;0.17835149861489955;6.1258686513020688;81.25;36.0;331.0;0.015571747731989612;0.0;0.13580246913580246;Wroclaw;5617;15;1;2017;15.01.2017
9;7.21790863040946;0.28558845093934437;32.325610016841118;66.333333333333329;37.0;112.0;0.00403437224634948;0.0;0.0183585313174946;Wroclaw;5617;16;1;2017;16.01.2017
12;3.8222198100864859;0.10055781300422148;9.4380300957592347;75.916666666666657;40.0;139.0;0.006837405786704151;0.0;0.08;Wroclaw;5617;17;1;2017;17.01.2017
12;4.1630585103099449;0.97188748198913544;16.903023572595842;67.0;38.0;213.0;0.021498237897405771;0.0;0.059844961240310079;Wroclaw;5617;18;1;2017;18.01.2017
16;2.5326404801086695;0.023783278943110178;9.5566569560886769;194.62499999999997;39.0;814.0;0.0090695442890305917;0.0;0.10344827586206896;Wroclaw;5617;19;1;2017;19.01.2017
13;4.0084487758862783;0.10792016627028252;9.87795728747539;137.92307692307691;16.0;911.0;0.0022380307518142062;0.0;0.019417475728155338;Wroclaw;5617;20;1;2017;20.01.2017
27;2.169236060150149;0.16011309724627998;9.5477163109333549;87.925925925925924;46.0;301.0;0.014383631868009302;0.0;0.070866141732283464;Wroclaw;5617;21;1;2017;21.01.2017
27;4.9983464027070221;0.061725393127118208;26.551642613960535;72.740740740740762;28.0;257.0;0.014547134031211467;0.0;0.14705882352941177;Wroclaw;5617;22;1;2017;22.01.2017
16;4.4972679356371152;0.23836378508500625;16.15884372754449;137.5625;38.0;724.0;0.0034710590755374078;0.0;0.032228075612023552;Wroclaw;5617;23;1;2017;23.01.2017
17;4.3708349504494315;0.91133806783329407;9.361592969852051;65.6470588235294;42.0;147.0;0.00258041047069408;0.0;0.012315270935960592;Wroclaw;5617;24;1;2017;24.01.2017
22;5.2829883245781906;0.54528284819254069;18.997690059012452;59.545454545454533;44.0;82.0;0.003514035292111581;0.0;0.042830540037243951;Wroclaw;5617;25;1;2017;25.01.2017
12;3.8004449533504427;0.949627450568795;8.00812013865956;60.5;39.0;105.0;0.0044847903370767179;0.0;0.015860105734038225;Wroclaw;5617;26;1;2017;26.01.2017
30;4.7984075620408655;0.12028576182021686;13.377672065367326;88.999999999999986;43.0;324.0;0.0086892484996050866;0.0;0.033613445378151259;Wroclaw;5617;27;1;2017;27.01.2017
11;4.3187234550955074;0.84164574850583851;12.2373301089465;66.909090909090921;39.0;155.0;0.0023907769774777895;0.0;0.023270846800258566;Wroclaw;5617;28;1;2017;28.01.2017
21;4.6746903459848976;0.67577999505093789;17.331135042891994;57.333333333333329;27.0;83.0;0.0039985081351014921;0.0;0.041666666666666664;Wroclaw;5617;29;1;2017;29.01.2017
28;7.0684326643585793;0.90248966414210341;15.284163202251358;58.071428571428569;44.0;99.0;0.0070719860822314184;0.0;0.071881606765327691;Wroclaw;5617;30;1;2017;30.01.2017
